timestamp_ms,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz,filtered_ax,filtered_ay,filtered_az,filtered_gx,filtered_gy,filtered_gz,roll_deg,pitch_deg,yaw_deg,qx,qy,qz,qw,filter_method
123097,-0.146,-0.462,9.84,0.006,0.045,0.008,-0.146,-0.462,9.84,0.006,0.045,0.008,-1.1793905453986793,11.817154232755227,3.3231920947802935,-0.013217719449082056,0.10259586454457488,0.029899706393755127,0.9941857915040246,complementary
123197,-0.139,-0.479,9.838,0.005,0.049,0.009,-0.139,-0.479,9.838,0.005,0.049,0.009,-1.1835416048297067,11.871428044033701,3.3746294024762022,-0.013313150860025482,0.10305970783435334,0.030353109653490272,0.9941228019563977,complementary
123297,-0.105,-0.496,9.835,0.005,0.046,0.008,-0.105,-0.496,9.835,0.005,0.046,0.008,-1.1895397803707488,11.904459176448164,3.4204575675804,-0.013414648061189728,0.10333933292201261,0.03075816114720489,0.9940799590633896,complementary
123397,-0.168,-0.46,9.864,0.007,0.052,0.006,-0.168,-0.46,9.864,0.007,0.052,0.006,-1.1798616036569218,11.977656881719662,3.4548131185772406,-0.013380138274223448,0.10397293275486869,0.031052001407014793,0.9940052184786218,complementary
123497,-0.113,-0.474,9.883,0.005,0.046,0.007,-0.113,-0.474,9.883,0.005,0.046,0.007,-1.183030598910247,12.010147554484758,3.4950238765608317,-0.013452403657925709,0.10424920888731311,0.031405682612057596,0.9939641937121598,complementary
123597,-0.108,-0.462,9.819,0.007,0.048,0.008,-0.108,-0.462,9.819,0.007,0.048,0.008,-1.1739875925477783,12.051722348306416,3.540804175699326,-0.01342637030277114,0.10460696725310095,0.03179707078847262,0.9939145140664135,complementary
123697,-0.127,-0.476,9.85,0.006,0.048,0.007,-0.127,-0.476,9.85,0.006,0.048,0.007,-1.1722072663092562,12.09447790941189,3.580838892387249,-0.013458665305857744,0.1049736252471981,0.03214525422794431,0.9938642185737782,complementary
123797,-0.098,-0.46,9.874,0.008,0.05,0.005,-0.098,-0.46,9.874,0.008,0.05,0.005,-1.1571160520651664,12.145140431006565,3.6095319023734467,-0.013367437265491909,0.10541393499423692,0.03238325347704887,0.9938111182836633,complementary
123897,-0.218,-0.453,9.917,0.006,0.05,0.005,-0.218,-0.453,9.917,0.006,0.05,0.005,-1.1525853263197843,12.208096226363967,3.638174642167354,-0.013371247317891499,0.10595789038350253,0.03263113511127357,0.9937451102933746,complementary
123997,-0.093,-0.488,9.823,0.006,0.045,0.007,-0.093,-0.488,9.823,0.006,0.045,0.007,-1.1526498027930918,12.227990805252139,3.6783684749421814,-0.01341432546022979,0.10612571059086079,0.03298089867155452,0.9937150747306033,complementary
